name,english_name,description
이누야샤,Inuyasha,강한 눈매와 거친 분위기를 가진 반요 주인공
가영,Kagome Higurashi,맑고 부드러운 인상의 현대 소녀
셋쇼마루,Sesshomaru,차갑고 우아한 분위기의 대요괴
미륵,Miroku,부드럽고 여유로운 인상의 법사
산고,Sango,단정하고 강단 있는 분위기의 요괴 퇴치사
싯포,Shippo,작고 귀여운 여우 요괴
키쿄우,Kikyo,차분하고 신비로운 분위기의 무녀
나라쿠,Naraku,어둡고 음산한 분위기의 요괴
코우가,Koga,날렵하고 야성적인 늑대 요괴
카구라,Kagura,도도하고 날카로운 인상의 바람 요괴
칸나,Kanna,무표정하고 신비로운 분위기의 요괴
쟈켄,Jaken,작고 독특한 인상의 셋쇼마루 부하
링,Rin,밝고 순수한 인상의 소녀
코하쿠,Kohaku,조용하고 섬세한 분위기의 소년
묘가,Myoga,작고 익살스러운 벼룩 요괴
토토사이,Totosai,기괴하지만 익살스러운 대장장이 요괴
카에데,Kaede,온화하고 지혜로운 노무녀
금강,Kikyo,차분하고 강한 분위기의 무녀
키라라,Kirara,귀엽고 충성스러운 고양이 요괴
아운,Ah-Un,셋쇼마루 일행의 쌍두 용 요괴
반코츠,Bankotsu,강렬하고 자신감 넘치는 칠인대 두목
쟈코츠,Jakotsu,화려하고 날카로운 분위기의 칠인대
렌코츠,Renkotsu,차갑고 계산적인 인상의 칠인대
스이코츠,Suikotsu,이중적인 분위기를 가진 칠인대
긴코츠,Ginkotsu,거친 기계적 분위기의 칠인대
무코츠,Mukotsu,음침하고 집요한 분위기의 칠인대
쿄코츠,Kyokotsu,거대하고 위압적인 칠인대
아야메,Ayame,밝고 당찬 늑대 요괴 소녀
하쿠도시,Hakudoshi,차갑고 영리한 분위기의 나라쿠 분신
아기,The Infant,기괴하고 불길한 분위기의 나라쿠 분신
뱌쿠야,Byakuya,여유롭고 미스터리한 분위기의 요괴
무소,Musō,거칠고 불안정한 분위기의 나라쿠 분신
고신키,Goshinki,날카롭고 사나운 분위기의 요괴
주로마루,Jūrōmaru,야수 같은 분위기의 요괴
카게로마루,Kagerōmaru,작고 민첩한 분위기의 요괴
츠바키,Tsubaki,어둡고 질투심 강한 흑무녀
유라,Yura,요염하고 날카로운 머리카락 요괴
역발의 유라,Yura of the Hair,머리카락을 조종하는 음산한 요괴
세츠나의 타케마루,Takemaru of Setsuna,집착과 원한을 가진 인간 무사
츠유공주,Princess Tsuyu,슬프고 연약한 분위기의 공주
나즈나,Nazuna,순수하고 겁 많은 분위기의 소녀
하치에몽,Hachiemon,둥글고 익살스러운 너구리 요괴
가텐마루,Gatenmaru,거칠고 위압적인 나방 요괴
류코츠세이,Ryūkotsusei,강대한 위압감을 가진 용 요괴
효네코 대장,Hyōneko Leader,차갑고 날카로운 표범 요괴
토우란,Toran,냉정하고 강한 분위기의 표범 요괴
슈란,Shuran,거대하고 거친 분위기의 표범 요괴
케슌,Karan,화려하고 강렬한 분위기의 표범 요괴
춘란,Shunran,귀엽고 장난스러운 표범 요괴
사라공주,Princess Sara,애절하고 신비로운 분위기의 공주
호센키,Hosenki,단단하고 신비로운 보석 요괴
호센키 2세,Hosenki II,차분하고 신비로운 보석 요괴
철계,Tōkijin,불길하고 강한 기운을 가진 검의 존재
소타,Souta Higurashi,밝고 순한 인상의 가영 남동생
가영 엄마,Kagome's Mother,부드럽고 따뜻한 분위기의 어머니
가영 할아버지,Kagome's Grandfather,익살스럽고 수다스러운 노인
호죠,Hojo,반듯하고 친절한 분위기의 소년
에리,Eri,활발하고 현실적인 가영의 친구
유카,Yuka,명랑하고 친근한 가영의 친구
아유미,Ayumi,차분하고 부드러운 가영의 친구
이자요이,Izayoi,우아하고 연약한 분위기의 이누야샤 어머니
투아왕,Tōga,강하고 위엄 있는 대요괴
셋쇼마루 어머니,Sesshomaru's Mother,우아하고 냉정한 분위기의 대요괴
소운가,Sō'unga,불길하고 강한 기운의 마검
메노마루,Menōmaru,차갑고 오만한 극장판 요괴
루리,Ruri,차분하고 날카로운 극장판 요괴
하리,Hari,요염하고 날카로운 극장판 요괴
카구야,Princess Kaguya,우아하고 신비로운 달의 공주
칸나즈키,Kannazuki,충성스럽고 차분한 분위기의 시종
호시요미,Hoshiyomi,비극적이고 집착적인 음양사
타케마루,Takemaru,강한 원한과 질투를 가진 무사
마리,Kanade,신비로운 분위기의 극장판 인물
모에기,Moegi,조용하고 신비로운 분위기의 극장판 인물
아사기,Asagi,차분하고 순수한 극장판 인물
오로치다유,Orochidayu,음산하고 기괴한 분위기의 요괴
시신키,Shishinki,냉정하고 강력한 명계 요괴
야쿠로도쿠센,Yakurōdokusen,괴짜 같은 분위기의 현자 요괴
