name,english_name,description,face_shape,eyes,eyebrows,nose,mouth,jaw,hair,impression,face_tags,keywords,image_url
ayame,ayame,강한 인상을 주는 캐릭터입니다.,계란형,"큰눈, 쌍꺼풀",굵은눈썹,오똑한코,작은입,갸름한턱,"장발, 앞머리","강한인상, 성숙한인상","계란형, 큰눈, 쌍꺼풀, 굵은눈썹, 오똑한코, 작은입, 갸름한턱, 장발, 앞머리, 강한인상, 성숙한인상","강한인상, 큰눈, 오똑한코, 장발, 성숙한인상",images/ayame.png
bankotsu,bankotsu,강한 인상을 주는 캐릭터,각진얼굴,"큰눈, 쌍꺼풀",굵은눈썹,오똑한코,작은입,각진턱,"장발, 앞머리, 직모","강한인상, 날카로운인상","각진얼굴, 큰눈, 쌍꺼풀, 굵은눈썹, 오똑한코, 작은입, 각진턱, 장발, 앞머리, 직모, 강한인상, 날카로운인상","강한인상, 날카로운눈, 오똑한코, 장발, 각진턱",images/bankotsu.png
buyo,buyo,귀여운 고양이 캐릭터,둥근얼굴,큰눈,가는눈썹,작은코,작은입,둥근턱,직모,귀여운인상,"둥근얼굴, 큰눈, 가는눈썹, 작은코, 작은입, 둥근턱, 직모, 귀여운인상","고양이, 귀여움, 애니메이션, 캐릭터",images/buyo.png
ginkotsu,ginkotsu,강한 인상을 주는 캐릭터의 얼굴.,각진얼굴,"날카로운눈, 쌍꺼풀",굵은눈썹,"큰코, 오똑한코",무표정입,각진턱,"장발, 직모","강한인상, 날카로운인상","각진얼굴, 날카로운눈, 쌍꺼풀, 굵은눈썹, 큰코, 오똑한코, 무표정입, 각진턱, 장발, 직모, 강한인상, 날카로운인상","강한인상, 각진얼굴, 날카로운눈, 큰코, 장발",images/ginkotsu.png
hakudoshi,hakudoshi,하얀 머리와 날카로운 눈매를 가진 캐릭터,계란형,"큰눈, 쌍꺼풀",굵은눈썹,오똑한코,무표정입,갸름한턱,"장발, 직모",날카로운인상,"계란형, 큰눈, 쌍꺼풀, 굵은눈썹, 오똑한코, 무표정입, 갸름한턱, 장발, 직모, 날카로운인상","하얀 머리, 날카로운 눈, 오똑한 코, 무표정, 갸름한 턱",images/hakudoshi.png
hitomiko,hitomiko,부드러운 인상의 긴 머리를 가진 캐릭터,계란형,"큰눈, 쌍꺼풀","가는눈썹, 아치형눈썹",오똑한코,작은입,갸름한턱,"장발, 직모","부드러운인상, 신비로운인상","계란형, 큰눈, 쌍꺼풀, 가는눈썹, 아치형눈썹, 오똑한코, 작은입, 갸름한턱, 장발, 직모, 부드러운인상, 신비로운인상","부드러운, 신비로운, 긴머리, 큰눈, 오똑한코",images/hitomiko.png
hojo,hojo,부드러운 인상의 젊은 남성 캐릭터,계란형,"큰눈, 쌍꺼풀",가는눈썹,오똑한코,미소형입,갸름한턱,"단발, 앞머리",부드러운인상,"계란형, 큰눈, 쌍꺼풀, 가는눈썹, 오똑한코, 미소형입, 갸름한턱, 단발, 앞머리, 부드러운인상","부드러운, 젊은, 미소, 큰눈, 앞머리",images/hojo.png
inuyasha,inuyasha,이 캐릭터는 긴 머리와 날카로운 눈매를 가진 인상적인 외모를 가지고 있습니다.,계란형,"큰눈, 날카로운눈",굵은눈썹,오똑한코,미소형입,각진턱,"장발, 앞머리","강한인상, 신비로운인상","계란형, 큰눈, 날카로운눈, 굵은눈썹, 오똑한코, 미소형입, 각진턱, 장발, 앞머리, 강한인상, 신비로운인상","긴머리, 날카로운눈, 강한인상, 신비로운인상, 오똑한코",images/inuyasha.png
izayoi,izayoi,부드러운 인상을 주는 캐릭터,계란형,"큰눈, 쌍꺼풀",가는눈썹,오똑한코,작은입,갸름한턱,"장발, 직모","부드러운인상, 신비로운인상","계란형, 큰눈, 쌍꺼풀, 가는눈썹, 오똑한코, 작은입, 갸름한턱, 장발, 직모, 부드러운인상, 신비로운인상","부드러운, 신비로운, 큰눈, 장발, 계란형",images/izayoi.png
jaken,jaken,작고 귀여운 외모의 캐릭터,둥근얼굴,"큰눈, 동그란눈",가는눈썹,작은코,작은입,둥근턱,"단발, 앞머리",귀여운인상,"둥근얼굴, 큰눈, 동그란눈, 가는눈썹, 작은코, 작은입, 둥근턱, 단발, 앞머리, 귀여운인상","작고 귀여운, 큰눈, 둥근얼굴, 단발, 귀여운인상",images/jaken.png
jakotsu,jakotsu,"이 캐릭터는 부드러운 인상을 주며, 특징적인 눈과 입 모양이 돋보입니다.",계란형,"큰눈, 쌍꺼풀",가는눈썹,오똑한코,작은입,갸름한턱,"장발, 앞머리",부드러운인상,"계란형, 큰눈, 쌍꺼풀, 가는눈썹, 오똑한코, 작은입, 갸름한턱, 장발, 앞머리, 부드러운인상","부드러운, 큰눈, 장발, 쌍꺼풀, 갸름한턱",images/jakotsu.png
kaede,kaede,"중년의 남성으로, 강한 인상을 주는 얼굴입니다.",각진얼굴,"작은눈, 처진눈",굵은눈썹,"큰코, 오똑한코","작은입, 무표정입",각진턱,"장발, 묶음머리","강한인상, 성숙한인상","각진얼굴, 작은눈, 처진눈, 굵은눈썹, 큰코, 오똑한코, 작은입, 무표정입, 각진턱, 장발, 묶음머리, 강한인상, 성숙한인상","중년, 강한인상, 각진얼굴, 작은눈, 굵은눈썹",images/kaede.png
kagome,kagome,밝고 친근한 인상의 소녀,계란형,"큰눈, 쌍꺼풀",가는눈썹,오똑한코,미소형입,갸름한턱,"장발, 앞머리","귀여운인상, 부드러운인상","계란형, 큰눈, 쌍꺼풀, 가는눈썹, 오똑한코, 미소형입, 갸름한턱, 장발, 앞머리, 귀여운인상, 부드러운인상","밝은, 친근한, 소녀, 귀여운, 부드러운",images/kagome.png
kagura,kagura,강한 인상을 주는 캐릭터,계란형,"큰눈, 쌍꺼풀",굵은눈썹,오똑한코,작은입,각진턱,"장발, 앞머리","강한인상, 신비로운인상","계란형, 큰눈, 쌍꺼풀, 굵은눈썹, 오똑한코, 작은입, 각진턱, 장발, 앞머리, 강한인상, 신비로운인상","강한인상, 신비로운, 큰눈, 오똑한코, 장발",images/kagura.png
kanna,kanna,하얀 머리와 차분한 표정의 캐릭터,계란형,"큰눈, 쌍꺼풀",굵은눈썹,오똑한코,무표정입,갸름한턱,"장발, 앞머리",신비로운인상,"계란형, 큰눈, 쌍꺼풀, 굵은눈썹, 오똑한코, 무표정입, 갸름한턱, 장발, 앞머리, 신비로운인상","하얀머리, 큰눈, 신비로운, 차분한, 무표정",images/kanna.png
kikyo,kikyo,차가운 인상을 주는 여성 캐릭터,계란형,"큰눈, 쌍꺼풀",굵은눈썹,오똑한코,작은입,갸름한턱,"장발, 앞머리, 직모","차가운인상, 신비로운인상","계란형, 큰눈, 쌍꺼풀, 굵은눈썹, 오똑한코, 작은입, 갸름한턱, 장발, 앞머리, 직모, 차가운인상, 신비로운인상","차가운, 신비로운, 여성, 큰눈, 장발",images/kikyo.png
kirara,kirara,귀여운 고양이 같은 외형,둥근얼굴,"큰눈, 동그란눈",가는눈썹,작은코,미소형입,둥근턱,"장발, 앞머리, 직모",귀여운인상,"둥근얼굴, 큰눈, 동그란눈, 가는눈썹, 작은코, 미소형입, 둥근턱, 장발, 앞머리, 직모, 귀여운인상","귀여운, 고양이, 둥글다, 큰눈, 미소",images/kirara.png
koga,koga,강한 인상을 주는 캐릭터,각진얼굴,"큰눈, 쌍꺼풀",굵은눈썹,오똑한코,무표정입,각진턱,"장발, 앞머리",강한인상,"각진얼굴, 큰눈, 쌍꺼풀, 굵은눈썹, 오똑한코, 무표정입, 각진턱, 장발, 앞머리, 강한인상","강한인상, 각진얼굴, 큰눈, 오똑한코, 장발",images/koga.png
kohaku,kohaku,젊고 단정한 인상의 남자 캐릭터,계란형,"큰눈, 쌍꺼풀",굵은눈썹,오똑한코,무표정입,갸름한턱,"단발, 앞머리, 직모","부드러운인상, 신비로운인상","계란형, 큰눈, 쌍꺼풀, 굵은눈썹, 오똑한코, 무표정입, 갸름한턱, 단발, 앞머리, 직모, 부드러운인상, 신비로운인상","젊은, 단정한, 부드러운, 신비로운, 큰눈",images/kohaku.png
miroku,miroku,강한 인상을 주는 남성 캐릭터,각진얼굴,"큰눈, 쌍꺼풀",굵은눈썹,오똑한코,무표정입,각진턱,"장발, 앞머리",강한인상,"각진얼굴, 큰눈, 쌍꺼풀, 굵은눈썹, 오똑한코, 무표정입, 각진턱, 장발, 앞머리, 강한인상","강한인상, 큰눈, 각진얼굴, 오똑한코, 굵은눈썹",images/miroku.png
mukotsu,mukotsu,특이한 표정과 독특한 외모를 가진 캐릭터입니다.,둥근얼굴,"큰눈, 동그란눈",굵은눈썹,작은코,작은입,둥근턱,묶음머리,신비로운인상,"둥근얼굴, 큰눈, 동그란눈, 굵은눈썹, 작은코, 작은입, 둥근턱, 묶음머리, 신비로운인상","특이한, 독특한, 신비로운, 귀여운, 둥근얼굴",images/mukotsu.png
muso,muso,강한 인상을 주는 캐릭터입니다.,각진얼굴,"큰눈, 쌍꺼풀",굵은눈썹,오똑한코,작은입,각진턱,"장발, 앞머리",강한인상,"각진얼굴, 큰눈, 쌍꺼풀, 굵은눈썹, 오똑한코, 작은입, 각진턱, 장발, 앞머리, 강한인상","강한인상, 각진얼굴, 큰눈, 오똑한코, 장발",images/muso.png
myoga,myoga,"작고 귀여운 외모의 캐릭터로, 독특한 코와 큰 눈이 특징이다.",둥근얼굴,"큰눈, 동그란눈",굵은눈썹,작은코,작은입,둥근턱,"장발, 앞머리",귀여운인상,"둥근얼굴, 큰눈, 굵은눈썹, 작은코, 작은입, 둥근턱, 장발, 앞머리, 귀여운인상","작고 귀여운, 독특한 코, 큰 눈, 부드러운 인상, 만화 캐릭터",images/myoga.png
naraku,naraku,신비로운 인상을 주는 캐릭터,각진얼굴,"날카로운눈, 쌍꺼풀",굵은눈썹,오똑한코,무표정입,각진턱,"장발, 직모","신비로운인상, 날카로운인상","각진얼굴, 날카로운눈, 굵은눈썹, 오똑한코, 무표정입, 각진턱, 장발, 직모, 신비로운인상, 날카로운인상","신비로운, 날카로운, 각진얼굴, 오똑한코, 장발",images/naraku.png
princess_sara,princess_sara,차가운 인상을 주는 긴 얼굴형의 캐릭터,긴얼굴,"큰눈, 쌍꺼풀",굵은눈썹,오똑한코,무표정입,갸름한턱,"장발, 앞머리",차가운인상,"긴얼굴, 큰눈, 쌍꺼풀, 굵은눈썹, 오똑한코, 무표정입, 갸름한턱, 장발, 앞머리, 차가운인상","차가운, 긴얼굴, 큰눈, 오똑한코, 무표정",images/princess_sara.png
renkotsu,renkotsu,차가운 인상을 주는 캐릭터,각진얼굴,"날카로운눈, 쌍꺼풀",굵은눈썹,오똑한코,무표정입,각진턱,"단발, 앞머리",차가운인상,"각진얼굴, 날카로운눈, 굵은눈썹, 오똑한코, 무표정입, 각진턱, 단발, 앞머리, 차가운인상","차가운, 날카로운, 각진, 무표정, 단발",images/renkotsu.png
rin,rin,밝고 귀여운 인상의 소녀,둥근얼굴,"큰눈, 쌍꺼풀",가는눈썹,작은코,미소형입,둥근턱,"장발, 앞머리, 직모",귀여운인상,"둥근얼굴, 큰눈, 쌍꺼풀, 가는눈썹, 작은코, 미소형입, 둥근턱, 장발, 앞머리, 직모, 귀여운인상","귀여운, 밝은, 소녀, 큰눈, 미소",images/rin.png
sango,sango,강한 인상을 주는 캐릭터,계란형,"큰눈, 쌍꺼풀",굵은눈썹,오똑한코,작은입,갸름한턱,"장발, 앞머리","강한인상, 성숙한인상","계란형, 큰눈, 쌍꺼풀, 굵은눈썹, 오똑한코, 작은입, 갸름한턱, 장발, 앞머리, 강한인상, 성숙한인상","강한인상, 큰눈, 오똑한코, 장발, 성숙한인상",images/sango.png
sesshomaru,sesshomaru,차가운 인상을 주는 긴 얼굴의 캐릭터.,긴얼굴,"날카로운눈, 쌍꺼풀","굵은눈썹, 아치형눈썹","높은코, 오똑한코",무표정입,각진턱,"장발, 직모","차가운인상, 신비로운인상","긴얼굴, 날카로운눈, 굵은눈썹, 높은코, 무표정입, 각진턱, 장발, 차가운인상, 신비로운인상","차가운, 신비로운, 긴얼굴, 날카로운눈, 각진턱",images/sesshomaru.png
shippo,shippo,귀여운 외모의 캐릭터,둥근얼굴,"큰눈, 동그란눈",가는눈썹,작은코,작은입,둥근턱,"단발, 앞머리",귀여운인상,"둥근얼굴, 큰눈, 가는눈썹, 작은코, 작은입, 둥근턱, 단발, 앞머리, 귀여운인상","귀여운, 큰눈, 둥근얼굴, 작은코, 단발",images/shippo.png
